Tên thực phẩm chức năng,Giá tiền,Cách dùng,Chống chỉ định,Liều dùng,Vitamin C,Canxi,Vitamin D3,Sắt,Kẽm,Vitamin E,Omega-3,Biotin,Lợi khuẩn,Protein,Thành phần đặc biệt khác,Vitamin A
Viên uống D3 + K2,350.000 VNĐ,Uống sáng,Đang dùng thuốc chống đông máu,1 viên/ngày,,,1000 IU,,,,,,,,Vitamin K2 45mcg,
Centrum Silver Người lớn tuổi,650.000 VNĐ,Uống sau ăn sáng,Đang điều trị bệnh gan,1 viên/ngày,60mg,200mg,500 IU,,11mg,50 IU,,,,,Lutein,2500 IU
Viên sủi Canxi + Vitamin C,100.000 VNĐ,Uống ban ngày,Sỏi thận,1 viên/ngày,500mg,500mg,,,,,,,,,,
Kẹo dẻo Vitamin tổng hợp cho bé,300.000 VNĐ,Nhai sau ăn,Trẻ dưới 2 tuổi,2 viên/ngày,15mg,,400 IU,,,15 IU,,,,,,2100 IU
Vitamin E thiên nhiên,450.000 VNĐ,Uống sau ăn tối,Rối loạn đông máu,1 viên/ngày,,,,,,1000 IU,,,,,,
Canxi nước cho bé,280.000 VNĐ,Uống sáng,Trẻ dưới 6 tháng,10ml/ngày,,300mg,200 IU,,,,,,,,,
Tảo xoắn Spirulina,500.000 VNĐ,Uống trước/sau ăn,Bệnh tự miễn,10-20 viên/ngày,,120mg,,5mg,,,,,,6g,,1000 IU
Dầu cá hồi (Salmon Oil),450.000 VNĐ,Uống sau ăn,Dị ứng cá,2 viên/ngày,,,100 IU,,,,1000mg,,,,,500 IU
Viên uống đẹp da Collagen + E,600.000 VNĐ,Uống tối,U xơ,2 viên/ngày,,,,,,100 IU,,,,,Collagen 1000mg,
Canxi sữa (Milk Calcium),400.000 VNĐ,Uống sáng,Dị ứng đạm sữa bò,2 viên/ngày,,270mg,100 IU,,,,,,,,,
Kẹo dẻo Vitamin E & C,250.000 VNĐ,Nhai sau ăn,Người tiểu đường,2 viên/ngày,60mg,,,,,30 IU,,,,,,
Viên uống chống nắng (Lutein + A + E),700.000 VNĐ,Uống trước khi ra nắng,Phụ nữ có thai,1 viên/ngày,,,,,,50 IU,,,,,Chiết xuất dương xỉ,2000 IU
Canxi Nano,320.000 VNĐ,Uống sáng sau ăn,Sỏi thận,1-2 viên/ngày,,500mg,200 IU,,,,,,,,K2 20mcg,
Vitamin D3 giọt cho trẻ sơ sinh,200.000 VNĐ,Nhỏ vào miệng/sữa,Tăng canxi huyết,1 giọt/ngày,,,400 IU,,,,,,,,,
Sữa bầu bổ sung Canxi & Sắt,450.000 VNĐ,Pha nước ấm,Tiểu đường thai kỳ (tùy loại),2 ly/ngày,,800mg,400 IU,15mg,,,,,,10g,Axit Folic,1500 IU
Viên bổ mắt (Vitamin A + Kẽm),280.000 VNĐ,Uống sau ăn,Bệnh gan,1 viên/ngày,,,,,15mg,,,,,,,5000 IU
Dầu hạt lanh (Flaxseed Oil),350.000 VNĐ,Uống sau ăn,Rối loạn chảy máu,1-2 viên/ngày,,,,,,,500mg (ALA),,,,,
Viên nhai Canxi vị trái cây,180.000 VNĐ,Nhai sau ăn,Sỏi thận,2 viên/ngày,,400mg,200 IU,,,,,,,,,
Vitamin E kết hợp Hoa anh thảo,550.000 VNĐ,Uống sau ăn,Động kinh,2 viên/ngày,,,,,,200 IU,,,,,Tinh dầu hoa anh thảo 1000mg,
Sữa Ensure bổ sung Canxi & Vitamin,750.000 VNĐ,Pha nước ấm,Dị ứng sữa bò,1-2 ly/ngày,30mg,500mg,200 IU,,,15 IU,,,,15g,,1000 IU
Dầu nhuyễn thể (Krill Oil),800.000 VNĐ,Uống sau ăn,Dị ứng hải sản,1 viên/ngày,,,,,,,300mg,,,,Astaxanthin,200 IU
Kẹo dẻo Vitamin A cho bé,220.000 VNĐ,Nhai sau ăn,Trẻ dưới 2 tuổi,1 viên/ngày,,,,,,,,,,,,1500 IU
